player_name,country,teams,account_id,opendota_name,liquipedia_title,photo_url,match_count,wins,recent_match_count,recent_wins,avg_kills,avg_deaths,avg_assists,avg_gpm,avg_xpm
Inflame丶<,AX,Cuzco Esports,236439031,Inflame丶<,,https://avatars.steamstatic.com/e87d36086d24c2cdd8fc32d2057fc54fbd02a977_full.jpg,2401,1223,20,8,3.65,11.75,17.95,337.85,532.25
LiO,Afghanistan,depressıve days,1567292421,LiO,,https://avatars.steamstatic.com/c195a4d490dede677c15c75cbf85b116959d74f7_full.jpg,35,13,20,9,11.3,7.65,14.7,653.75,884.75
ganiaks,Albania,veternik,1079135332,ganiaks,,https://avatars.steamstatic.com/ec985770f98bfb6ed70fd7c5bff03f53b74010b6_full.jpg,2608,1344,20,8,5.4,7.7,23.2,393.75,625.95
wij,Argentina,x5 Gaming,86850560,wij,,https://avatars.steamstatic.com/2c39566c86d330506a8f87e72a1290085cb1f34c_full.jpg,8078,4327,20,11,5.7,4.7,13.3,699.15,1080.7
!FurZ!,BB,КИМЛОРОД,1591167216,!FurZ!,,https://avatars.steamstatic.com/b4469c9b875801f2b1160c1df3aca6e1f8a9870b_full.jpg,45,20,20,9,5.15,5.7,15.4,412.25,682.85
屌丝Mamoto,BI,Rocket Barrage,1267847654,屌丝Mamoto,,https://avatars.steamstatic.com/ab9d0399a0b1d9ba0bff313f9cd9711afc139240_full.jpg,4408,2175,20,4,7.25,10.8,11.25,443.6,625.35
blast,BO,ceodoomsday,1890861950,blast,,https://avatars.steamstatic.com/94d9a8853c690418dc8e6162547867c6bd1c6a58_full.jpg,274,152,20,7,6.0,6.75,10.95,565.8,789.4
Astral,BY,JustBetter,197547532,Astral,,https://avatars.steamstatic.com/e1d4ea2379f10e4493982d7df16b362705414205_full.jpg,8455,4470,20,14,4.55,4.6,15.75,326.75,456.25
L1RA2,Brazil,Pleaze Gaming,174767747,L1RA2,,https://avatars.steamstatic.com/e92af1f9bc58c329173c11a30629ffbaf6c85d0b_full.jpg,3812,2110,20,13,9.4,5.25,14.35,589.25,773.45
a7per-,CO,VegetableAWS,1631875234,a7per-,,https://avatars.steamstatic.com/21eb4bf07ce7bcf632473d10c91b708f314a00b0_full.jpg,96,53,20,9,6.15,8.5,13.8,489.4,705.85
butterfly,CX,SISKI GAMING,1479264655,butterfly,,https://avatars.steamstatic.com/5b280077717eb90252df490118b8e8287f2f4c10_full.jpg,1036,544,20,8,10.2,10.5,14.25,1009.6,1718.75
天鸽,Canada,Shopify Rebellion,,天鸽,,https://avatars.steamstatic.com/12e76d6f03f074df710aee0ea3bce1a5089b18ac_full.jpg,0,0,0,0,,,,,
555,Chile,Lava Esports,283629288,555,,https://avatars.steamstatic.com/b2f112a921329ea3663452fba2d8fa8c1d071b4a_full.jpg,9695,5553,20,12,13.15,5.3,13.6,660.2,912.45
PhaseOne,China,CLAN 7LW,136808312,PhaseOne,,https://avatars.steamstatic.com/9822bd54e09e05a4410d38f46df2041f49f639f8_full.jpg,108,61,20,10,6.7,6.25,12.9,530.8,731.5
BatLuk,Czech Republic,Ultimate Hunters,1053130959,BatLuk,,https://avatars.steamstatic.com/cff11a8a03adfec7d1a981aab5dc8731993b389d_full.jpg,141,74,20,12,9.95,8.85,15.75,544.6,764.7
Collapse,DZ,Team Spirit,302214028,Collapse,,https://avatars.steamstatic.com/7fe0d0b6b97e6336c683afc939bd2522de5147a5_full.jpg,7753,4513,20,13,5.0,4.1,13.2,597.9,833.6
Hope,EC,Team Double-U,117905733,Hope,,https://avatars.steamstatic.com/1cdbf7329121f9ecb893a30a1d9ae311792c656d_full.jpg,6717,3320,20,10,3.95,9.8,15.65,377.5,537.85
tgk`,Estonia,KLТ,1595482268,tgk`,,https://avatars.steamstatic.com/643dc1135c30dd3dfbc03621966c7c8570a16f3e_full.jpg,2010,1024,20,13,6.55,6.7,13.85,533.6,759.75
