player_account_id,player_name,country_code,team_id,team_name,player_avatar_url,team_logo_url
1567292421,LiO,AF,9402034,depressıve days,https://avatars.steamstatic.com/c195a4d490dede677c15c75cbf85b116959d74f7_full.jpg,
340920909,Xany,AF,8944676,doggy style enjoyers,https://avatars.steamstatic.com/51e1ebe08434e74dc5ac9df772a54dea743d54f3_full.jpg,
1238094963,weqned,AF,9691471,ganjubas thug,https://avatars.steamstatic.com/56770d002aad2ecff6dcc0ac2da67254cbb85da1_full.jpg,
1258333217,xed~,AF,9855461,hateu team,https://avatars.steamstatic.com/5a122f80bd67a1f33c2dd0550d3e2c762a656751_full.jpg,
1036008228,Kengama,AF,9408618,ritashidog,https://avatars.steamstatic.com/eeae193933409a20390a92ec1cfec8be7a50c015_full.jpg,
418427214,Artza,AF,9730348,rtz23,https://avatars.steamstatic.com/e0c96c3833fe05af6e1413efae55b79cd8e1b71d_full.jpg,
886469493,senseles,AF,9011769,spirit,https://avatars.steamstatic.com/00e054cb5feb0301732edf00d7003b0306a65140_full.jpg,
1539501562,eiytwo,AF,9068792,star shop's society,https://avatars.steamstatic.com/04a362fac7ae63a7bfacdea3a7017afdc0e48003_full.jpg,
369268401,ТАБУРЕТ,AF,9041110,ОСЛЫ,https://avatars.steamstatic.com/a6eb4b2d096e85c906f68421e4b2d13e5d23d1b0_full.jpg,
278391666,AMS,AF,9339143,Придира?,https://avatars.steamstatic.com/9f5203b7fe2a02b3402d34ecc0d4fcdb03238bd6_full.jpg,
307291170,Q7,AG,9886289,Cloud Rising,https://avatars.steamstatic.com/82bd3e1f3b73a0122b60142f609043f7a422d13f_full.jpg,
1096358837,zxcplayer,AG,9940267,Guardians of Hearts,https://avatars.steamstatic.com/fa3dd458766d1939dc0000ea5b363051daaf8d84_full.jpg,
1118496070,Manee,AG,8696219,Just Webing,https://avatars.steamstatic.com/261a69e70726d36174180bf12052ec549b769ffa_full.jpg,
1062089256,FoKBa,AG,,MAGMA,https://avatars.steamstatic.com/ed434c83661ceafaf9c5bb16783965f4ba7982b9_full.jpg,
1530533180,Anvу,AG,,Team Uninvited,https://avatars.steamstatic.com/19122435e66d455ad9b8dc6c9880e8478afe64fd_full.jpg,
196617903,Lovely,AI,8740097,Mad Kings Esports,https://avatars.steamstatic.com/6335876f02a7b1e200ac796f7011476db2165179_full.jpg,
206097366,queezy,AL,,234к234,https://avatars.steamstatic.com/0514cce436dab288db9cef88a0bebb0dc9b87991_full.jpg,
307818380,Ussy,AL,8850421,4 Lesha's anchors,https://avatars.steamstatic.com/52242694120030ca1811db68bd72feae3320adb4_full.jpg,
1527303102,suuuyyyyy!!!,AL,9450030,BEZMAM ESPORTS,https://avatars.steamstatic.com/04f21bedbc06275028b3173893b139e41694af8a_full.jpg,
1552234135,Arpaf2331,AL,9940267,Guardians of Hearts,https://avatars.steamstatic.com/fc6114abe3045ffd8184842efde2e28f469c366e_full.jpg,
489259641,psychovert <,AL,9948247,P9,https://avatars.steamstatic.com/add53f003fcd84b04794fa077b1be4cf3e5ec13d_full.jpg,
